name,email,country,salary
Leslie,elementum@sitametorci.edu,Grenada,"$7,053"
John,Nam.porttitor@porttitorerosnec.org,Wallis and Futuna,"$5,494"
Norman,Aliquam@Nunccommodo.ca,Myanmar,"$9,615"
Britanni,a.ultricies.adipiscing@porttitor.co.uk,San Marino,"$9,705"
Danielle,non@etnetus.net,Montenegro,"$5,429"
Claire,Nullam@ac.co.uk,Jamaica,"$5,187"
Ferris,semper.Nam.tempor@ultricesmauris.ca,Thailand,"$6,260"
Jolene,lacinia@ac.com,Saint Vincent and The Grenadines,"$8,518"
Gary,velit.justo@Pellentesque.co.uk,Hong Kong,"$6,161"
Leroy,Nunc@risus.co.uk,Russian Federation,"$6,245"
Candace,Donec.non@sagittisplacerat.co.uk,Antarctica,"$7,868"
Graiden,lorem@adipiscing.ca,Poland,"$5,738"
Ishmael,Nulla@Nulla.co.uk,Jersey,"$7,392"
Yael,diam@eudoloregestas.com,Madagascar,"$6,871"
Gabriel,sit.amet@orci.edu,Guinea-Bissau,"$9,211"
Rhona,Aliquam@turpisnonenim.com,New Caledonia,"$8,004"
Kiara,aliquet.magna.a@porttitorinterdum.co.uk,Venezuela,"$8,641"
Dennis,enim@atnisiCum.co.uk,Cocos (Keeling) Islands,"$5,771"
Randall,Vivamus.nibh@ipsum.ca,Guernsey,"$8,281"
Amethyst,accumsan.interdum@diamnuncullamcorper.net,Jersey,"$5,612"
Illana,mollis.Integer@Mauris.ca,Ecuador,"$7,393"
Rooney,odio.a.purus@velitegestaslacinia.net,Bahrain,"$7,045"
Orlando,amet@tellusSuspendissesed.edu,Peru,"$5,501"
Orli,porttitor.tellus@ut.ca,Italy,"$6,386"
Bradley,sem.ut.cursus@antebibendum.com,Guinea,"$8,340"
Diana,suscipit.est.ac@vitae.com,"Virgin Islands, British","$8,108"
Axel,nec@hendrerit.ca,Greenland,"$8,397"
Malachi,rutrum.lorem.ac@tristique.org,Sudan,"$9,109"
Alyssa,arcu.Vivamus@enim.co.uk,Liechtenstein,"$9,184"
Veda,justo.nec.ante@Proin.edu,Jordan,"$5,672"
